safeguard,benign_jailbreaks,borderline_jailbreaks,harmful_jailbreaks,benign_non-adversarial,borderline_non-adversarial,harmful_non-adversarial,Physical_harm,Economic_harm,Privacy,Harassment/Discrimination,Disinformation,Expert_advice,Sexual/Adult_content,Malware/Hacking,Fraud/Deception,Government_decision_making,CBRN,jailbreak_type_narrative,jailbreak_type_syntactic,jailbreak_type_generative,jailbreak_source_huggingface,jailbreak_source_deck_of_many_prompts,jailbreak_source_leet,jailbreak_source_url_encoded,jailbreak_source_ascii,jailbreak_source_rot13,jailbreak_source_hex,jailbreak_source_uppercase,jailbreak_source_reverse,jailbreak_source_binary,jailbreak_source_base64,jailbreak_source_disemvowel,jailbreak_source_PAIR,jailbreak_source_deep_inception,BELLS_score,adversarial_sensitivity,borderline_sensitivity
Lakera,0.6537037037037037,0.718562874251497,0.7695259544941264,0.11331444759206799,0.28888888888888886,0.6646341463414634,0.7931034482758621,0.7,0.5333333333333333,0.5,0.4666666666666667,0.43333333333333335,0.7241379310344828,0.9,0.8333333333333334,0.8,0.6333333333333333,0.9363057324840764,0.20293398533007334,0.7056962025316456,1.0,0.7799511002444988,0.2857142857142857,0.2,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.7056962025316456,0.696969696969697,0.8018828014128635,0.6537037037037037,0.28888888888888886
LLM Guard,0.8,0.7784431137724551,0.7771210856998754,0.0,0.002777777777777778,0.006097560975609756,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.8102581293999329,0.45232273838630804,1.0,0.892602495543672,0.20537897310513448,0.2857142857142857,0.4,0.5,0.25,0.0,0.625,0.16666666666666666,0.25,0.0,0.3333333333333333,1.0,1.0,0.6958046616688713,0.8,0.002777777777777778
NeMo,0.7203703703703703,0.7744510978043913,0.7926492541603343,0.17847025495750707,0.6472222222222223,0.8567073170731707,0.9655172413793104,0.8666666666666667,0.9333333333333333,1.0,0.8666666666666667,0.26666666666666666,0.9310344827586207,0.9333333333333333,0.9,0.7666666666666667,1.0,0.8709353000335233,0.9828850855745721,0.2563291139240506,0.9652406417112299,0.8606356968215159,1.0,1.0,1.0,1.0,1.0,1.0,0.8333333333333334,1.0,1.0,1.0,0.2563291139240506,0.24242424242424243,0.8231040153296227,0.7203703703703703,0.6472222222222223
LangKit,0.6148148148148148,0.6127744510978044,0.5748538873816568,0.07365439093484419,0.05555555555555555,0.2347560975609756,0.10344827586206896,0.43333333333333335,0.13333333333333333,0.06666666666666667,0.4666666666666667,0.0,0.10344827586206896,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.2,0.805900100569896,0.17114914425427874,0.06329113924050633,1.0,0.33985330073349634,0.0,0.2,0.0,0.0,0.0,0.375,0.0,0.25,0.0,0.3333333333333333,0.06329113924050633,0.06363636363636363,0.665575300768236,0.6148148148148148,0.05555555555555555
Prompt Guard,0.6018518518518519,0.6087824351297405,0.5283025247083223,0.0028328611898017,0.016666666666666666,0.04573170731707317,0.0,0.1,0.1,0.0,0.03333333333333333,0.0,0.0,0.06666666666666667,0.0,0.2,0.0,0.7901441501843781,0.007334963325183374,0.0189873417721519,0.9866310160427807,0.33251833740831294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0189873417721519,0.021212121212121213,0.6420921274114479,0.6018518518518519,0.016666666666666666
Llama-Guard 4 12B,0,0,0,0,0,0,0.7931034482758621,0.7,0.43333333333333335,0.5666666666666667,0.4666666666666667,0.4666666666666667,0.5517241379310345,0.8,0.8666666666666667,0.5666666666666667,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GPT-4,0.3055555555555556,0.5489021956087824,0.8534631270563587,0.0169971671388102,0.6361111111111111,0.8475609756097561,1.0,0.8666666666666667,1.0,0.9666666666666667,0.7,0.3,0.8275862068965517,0.9666666666666667,0.9666666666666667,0.7333333333333333,1.0,0.8997653369091518,0.7334963325183375,0.7943037974683544,0.9505347593582888,0.7212713936430318,0.42857142857142855,1.0,0.8333333333333334,0.5,1.0,0.625,0.8333333333333334,0.75,0.5,1.0,0.7943037974683544,0.7757575757575758,0.9167574420971236,0.3055555555555556,0.6361111111111111
Claude 3.5 Sonnet,0.5777777777777777,0.8782435129740519,0.913160727205607,0.0821529745042493,0.6861111111111111,0.823170731707317,0.9655172413793104,0.8,0.8,1.0,0.7,0.2,0.9655172413793104,1.0,0.9666666666666667,0.6666666666666666,1.0,0.9416694602748911,0.8166259168704156,0.9018987341772152,0.9674688057040999,0.8508557457212714,0.42857142857142855,1.0,0.6666666666666666,0.5,1.0,0.75,0.6666666666666666,0.75,0.5,1.0,0.9018987341772152,0.8787878787878788,0.8930063774761063,0.5777777777777777,0.6861111111111111
Gemini 1.5 Pro,0.5203703703703704,0.7285429141716567,0.8264292825891036,0.1388101983002833,0.7277777777777777,0.8292682926829268,1.0,0.9333333333333333,0.6666666666666666,1.0,0.7666666666666667,0.23333333333333334,0.9655172413793104,0.9666666666666667,0.9333333333333333,0.6666666666666666,1.0,0.8806570566543748,0.7408312958435208,0.6962025316455697,0.9251336898395722,0.80440097799511,0.8571428571428571,0.6,0.6666666666666666,1.0,1.0,0.5,0.6666666666666666,0.5,1.0,0.6666666666666666,0.6962025316455697,0.6727272727272727,0.8445192946678659,0.5203703703703704,0.7277777777777777
Mistral Large,0.4925925925925926,0.5788423153692615,0.662278698103804,0.11331444759206799,0.7861111111111111,0.8628048780487805,1.0,0.9333333333333333,0.8333333333333334,1.0,0.7666666666666667,0.3,0.9655172413793104,0.9666666666666667,1.0,0.7333333333333333,1.0,0.771035869929601,0.6381418092909535,0.23734177215189872,0.8511586452762924,0.7726161369193154,0.2857142857142857,0.8,0.5,0.5,0.5,0.875,0.8333333333333334,0.5,0.5,1.0,0.23734177215189872,0.22424242424242424,0.8246136702421121,0.4925925925925926,0.7861111111111111
DeepSeek V3,0.14629629629629629,0.22954091816367264,0.5968819318637564,0.0113314447592068,0.3638888888888889,0.7530487804878049,0.9310344827586207,0.7333333333333333,0.6666666666666666,0.9666666666666667,0.7,0.03333333333333333,0.7586206896551724,0.9,0.9333333333333333,0.6666666666666666,1.0,0.6714716728126048,0.39364303178484106,0.5126582278481012,0.7076648841354723,0.6185819070904646,0.14285714285714285,0.6,0.3333333333333333,0.5,0.5,0.25,0.6666666666666666,0.25,0.5,1.0,0.5126582278481012,0.4909090909090909,0.831816955708287,0.14629629629629629,0.3638888888888889
Grok 2,0.6129629629629629,0.8483033932135728,0.8818219222127758,0.10764872521246459,0.8361111111111111,0.8323170731707317,1.0,0.9333333333333333,0.7333333333333333,1.0,0.8,0.1,0.9310344827586207,0.9666666666666667,1.0,0.7,1.0,0.9329534026148173,0.7237163814180929,0.8449367088607594,0.9692513368983957,0.8215158924205379,0.42857142857142855,0.8,0.6666666666666666,0.5,0.75,0.75,0.8333333333333334,0.75,1.0,1.0,0.8449367088607594,0.8242424242424242,0.8747103862396446,0.6129629629629629,0.8361111111111111
