safeguard,benign_adversarial_value,benign_adversarial_confidence,borderline_adversarial_value,borderline_adversarial_confidence,harmful_adversarial_value,harmful_adversarial_confidence,benign_non-adversarial_value,benign_non-adversarial_confidence,borderline_non-adversarial_value,borderline_non-adversarial_confidence,harmful_non-adversarial_value,harmful_non-adversarial_confidence,Physical harm_value,Physical harm_confidence,Economic harm_value,Economic harm_confidence,Privacy_value,Privacy_confidence,Harassment/Discrimination_value,Harassment/Discrimination_confidence,Disinformation_value,Disinformation_confidence,Expert advice_value,Expert advice_confidence,Sexual/Adult content_value,Sexual/Adult content_confidence,Malware/Hacking_value,Malware/Hacking_confidence,Fraud/Deception_value,Fraud/Deception_confidence,Government decision-making_value,Government decision-making_confidence,CBRN_value,CBRN_confidence,jailbreak_type_narrative_value,jailbreak_type_narrative_confidence,jailbreak_type_syntactic_value,jailbreak_type_syntactic_confidence,jailbreak_type_generative_value,jailbreak_type_generative_confidence,jailbreak_source_huggingface_value,jailbreak_source_huggingface_confidence,jailbreak_source_deck_of_many_prompts_value,jailbreak_source_deck_of_many_prompts_confidence,jailbreak_source_leet_value,jailbreak_source_leet_confidence,jailbreak_source_url_encoded_value,jailbreak_source_url_encoded_confidence,jailbreak_source_ascii_value,jailbreak_source_ascii_confidence,jailbreak_source_rot13_value,jailbreak_source_rot13_confidence,jailbreak_source_hex_value,jailbreak_source_hex_confidence,jailbreak_source_uppercase_value,jailbreak_source_uppercase_confidence,jailbreak_source_reverse_value,jailbreak_source_reverse_confidence,jailbreak_source_binary_value,jailbreak_source_binary_confidence,jailbreak_source_base64_value,jailbreak_source_base64_confidence,jailbreak_source_disemvowel_value,jailbreak_source_disemvowel_confidence,jailbreak_source_PAIR_value,jailbreak_source_PAIR_confidence,jailbreak_source_deep_inception_value,jailbreak_source_deep_inception_confidence,BELLS_score_value,BELLS_score_confidence,adversarial_sensitivity_value,adversarial_sensitivity_confidence,borderline_sensitivity_value,borderline_sensitivity_confidence
Lakera,0.6612654320987654,0.01967592592592593,0.7131251939240422,0.03219339344648747,0.778101594337977,0.030765786999134237,0.10098774186612842,0.04888442383754581,0.2914351851851852,0.01215277777777779,0.6645337217655041,0.09216600502102301,0.8051484620134506,0.14771062271062274,0.7055555555555556,0.1111111111111111,0.5083333333333333,0.020833333333333315,0.3583333333333334,0.20833333333333337,0.5416666666666667,0.12499999999999997,0.35,0.16666666666666669,0.5439328533150044,0.36576086956521736,0.8944444444444443,0.04166666666666663,0.8416666666666668,0.020833333333333315,0.8027777777777778,0.09722222222222221,0.7111111111111112,0.125,0.9430291894909828,0.025701945070492893,0.18413094696215876,0.09277495414641333,0.7523543792517008,0.1230174231150794,1.0,0.0,0.6836497459914495,0.321034254493921,0.2833333333333333,0.22749999999999998,0.16666666666666666,0.16666666666666666,0.0,0.0,0.1,0.16666666666666666,0.0,0.0,0.45,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7172638373531232,0.030532525510204078,0.7176767676767677,0.04734848484848486,0.8101649580928061,0.034459989214782306,0.6612654320987654,0.01967592592592593,0.2914351851851852,0.01215277777777779
LLM Guard,0.7945987654320987,0.01967592592592593,0.812901136028953,0.09724821565894459,0.7992519434668756,0.06339432562142339,0.0,0.0,0.0023148148148148147,0.0023148148148148147,0.0015267175572519084,0.0033874045801526725,0.0,0.0,0.0,0.0,0.008333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008333333333333333,0.020833333333333332,0.0,0.0,0.0,0.0,0.8282538270854921,0.0760505241534653,0.5098658818363392,0.2167584180902539,1.0,0.0,0.9073354032347668,0.043158077994429,0.32312363363675634,0.3287424929074096,0.2633333333333333,0.22749999999999998,0.5166666666666666,0.375,0.425,0.125,0.4666666666666666,0.5,0.0,0.0,0.8166666666666668,0.25,0.1,0.125,0.16666666666666666,0.16666666666666666,0.0,0.0,0.35,0.25,1.0,0.0,1.0,0.0,0.7001946652560318,0.015871190548413298,0.7945987654320987,0.01967592592592593,0.0023148148148148147,0.0023148148148148147
NeMo,0.7330246913580247,0.018518518518518545,0.7617814170665622,0.13105220120226307,0.794873646464366,0.03664102831737397,0.1889111063923981,0.14369628582977334,0.6738425925925926,0.0642361111111111,0.8619235475478062,0.07167433767400094,0.9869565217391305,0.021739130434782594,0.8305555555555555,0.048611111111111105,0.9444444444444443,0.05555555555555558,1.0,0.0,0.825,0.125,0.21944444444444447,0.06250000000000001,0.982608695652174,0.03858695652173916,0.9277777777777777,0.05555555555555558,0.8944444444444443,0.04166666666666663,0.7972222222222223,0.041666666666666685,1.0,0.0,0.8801881818136312,0.054338660691945095,0.989735761170911,0.0101243753263221,0.22422532459953678,0.04006258753501403,0.9724260891549843,0.01488300835654599,0.854240292852389,0.08319099849835682,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.9,0.125,1.0,0.0,1.0,0.0,1.0,0.0,0.2706161062910012,0.030491024534813935,0.21616161616161617,0.03787878787878787,0.819743745306844,0.07461328043747012,0.7330246913580247,0.018518518518518545,0.6738425925925926,0.0642361111111111
LangKit,0.6243827160493828,0.012345679012345678,0.660730972295773,0.15701339285714289,0.548988415282901,0.08419196951237923,0.063448024803066,0.0356276845469983,0.05648148148148149,0.0023148148148148147,0.2363335207187857,0.1260372868786654,0.09035457931338939,0.07576345755693582,0.36944444444444446,0.16666666666666669,0.08888888888888889,0.08333333333333333,0.11388888888888889,0.0625,0.4222222222222222,0.08333333333333334,0.0,0.0,0.049949148232901086,0.06521739130434782,0.5861111111111111,0.08333333333333331,0.24722222222222223,0.06250000000000001,0.25277777777777777,0.08333333333333333,0.14722222222222223,0.0625,0.7702782604392164,0.12398915680666539,0.14430465812260895,0.06920453697864751,0.07903587571392193,0.08345483790106956,1.0,0.0,0.3123321057977402,0.15169379290999915,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.25,0.0,0.0,0.4666666666666666,0.5,0.0,0.0,0.2,0.25,0.0587006014527023,0.032295496323529405,0.06136363636363638,0.015151515151515152,0.6646064715988886,0.04187109163763085,0.6243827160493828,0.012345679012345678,0.05648148148148149,0.0023148148148148147
Prompt Guard,0.6186728395061728,0.02314814814814814,0.6166339343966609,0.06782637391686469,0.545147318043805,0.05887573523081537,0.005820803219782016,0.006998842369284199,0.010185185185185184,0.010416666666666666,0.049151407276255644,0.025579747860282206,0.0,0.0,0.08888888888888888,0.0625,0.10277777777777777,0.05555555555555555,0.0,0.0,0.016666666666666666,0.020833333333333332,0.0,0.0,0.0,0.0,0.016666666666666666,0.041666666666666664,0.0,0.0,0.10555555555555556,0.125,0.0,0.0,0.8102057584187825,0.08596882622196539,0.0035562310560249577,0.004241021481315731,0.045362358958735007,0.09200768849206353,0.9873274151801292,0.006349698494332756,0.3865298814838488,0.2874417506679213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01399055834454994,0.011458333333333334,0.023737373737373734,0.015151515151515152,0.6456642797201242,0.01642522997861262,0.6186728395061728,0.02314814814814814,0.010185185185185184,0.010416666666666666
GPT-4,0.27530864197530863,0.06365740740740743,0.5576889832051555,0.04880340935879307,0.8676201290082806,0.042237725662604794,0.014633201635787976,0.007828922670567314,0.6590277777777779,0.022569444444444475,0.8663150459212827,0.06815686274509802,1.0,0.0,0.836111111111111,0.125,1.0,0.0,0.9833333333333334,0.020833333333333315,0.7305555555555555,0.05555555555555558,0.325,0.020833333333333315,0.9014673668563828,0.10869565217391303,0.9833333333333334,0.020833333333333315,0.9722222222222223,0.02777777777777779,0.711111111111111,0.041666666666666685,1.0,0.0,0.9146162264615905,0.04206749620603567,0.733746563327884,0.16167711234285997,0.8210147505972085,0.08517823796185142,0.9535222098348356,0.023611454733825088,0.7486351186149778,0.11560570067373277,0.5966666666666667,0.27187500000000003,1.0,0.0,0.775,0.25,0.4333333333333333,0.3333333333333333,1.0,0.0,0.7666666666666667,0.25,0.775,0.25,0.9,0.16666666666666669,0.5,0.5,1.0,0.0,0.7836836439121102,0.14112046807359302,0.7732323232323232,0.015151515151515138,0.9261671929144968,0.020424482137147454,0.27530864197530863,0.06365740740740743,0.6590277777777779,0.022569444444444475
Claude 3.5 Sonnet,0.5989197530864199,0.03240740740740744,0.9031771226557479,0.051867353253182424,0.8960223939497596,0.06127665613356266,0.062078161789367356,0.039818451415771415,0.6893518518518519,0.038194444444444475,0.7861927825663291,0.13172348484848484,0.9956521739130434,0.016847826086956508,0.8083333333333333,0.041666666666666685,0.8055555555555556,0.02777777777777779,1.0,0.0,0.7805555555555556,0.1875,0.25277777777777777,0.1875,0.9869565217391305,0.021739130434782594,1.0,0.0,0.9916666666666668,0.020833333333333315,0.65,0.04166666666666663,1.0,0.0,0.9468670569921633,0.023637718336771862,0.7197756438109747,0.3289983103144284,0.8804646195599451,0.06568335667600372,0.9700519805188341,0.016232873199868214,0.8666386500538424,0.06369683906602225,0.37333333333333335,0.3,1.0,0.0,0.725,0.25,0.6333333333333333,0.33333333333333337,1.0,0.0,0.8666666666666668,0.16666666666666669,0.675,0.125,0.8333333333333333,0.16666666666666669,0.5,0.5,1.0,0.0,0.9216832755829604,0.04564732142857142,0.8795454545454545,0.005681818181818177,0.8895147132343385,0.04141855059944494,0.5989197530864199,0.03240740740740744,0.6893518518518519,0.038194444444444475
Gemini Pro,0.49537037037037035,0.024305555555555552,0.7497704694916174,0.12000885733510946,0.8267311012673056,0.06550728988297701,0.11455906921999266,0.0672265131642864,0.7127314814814815,0.046875,0.8071624063216595,0.1397255695031801,1.0,0.0,0.9138888888888888,0.0625,0.6277777777777779,0.1111111111111111,1.0,0.0,0.7055555555555555,0.16666666666666669,0.20555555555555555,0.14583333333333334,0.960112167263197,0.04094551282051284,0.9722222222222223,0.02777777777777779,0.9277777777777777,0.05555555555555558,0.6138888888888889,0.08333333333333331,1.0,0.0,0.9032718240175239,0.049613802434491094,0.643994924806125,0.29359398394244196,0.7116465715073909,0.14031131628787885,0.927044623971234,0.03414746791073947,0.8296251170464822,0.08379251428544232,0.96,0.09999999999999998,0.7333333333333333,0.25,0.6,0.125,1.0,0.0,1.0,0.0,0.6499999999999999,0.33333333333333337,0.6,0.125,0.5666666666666667,0.33333333333333337,1.0,0.0,0.65,0.25,0.7138257102083259,0.02721463585434175,0.6974747474747475,0.02840909090909094,0.8511938422872449,0.05116887242852844,0.49537037037037035,0.024305555555555552,0.7127314814814815,0.046875
Mistral Large,0.5013888888888889,0.03935185185185186,0.5596780466525827,0.04318749999999999,0.6440925707614613,0.07691147980902055,0.10649273095177761,0.05590467031641904,0.7835648148148148,0.00694444444444442,0.8701908864056254,0.060728949803377286,1.0,0.0,0.9277777777777777,0.05555555555555558,0.8444444444444447,0.027777777777777735,1.0,0.0,0.711111111111111,0.0625,0.32222222222222224,0.048611111111111105,0.9335076123977727,0.0806547619047619,0.9555555555555555,0.041666666666666685,1.0,0.0,0.6861111111111111,0.08333333333333331,1.0,0.0,0.735863615557313,0.10632447719104066,0.6832799798673557,0.1442285280077572,0.21942049547091563,0.10681624212184873,0.7635727526324557,0.33742897586459847,0.7937719096884639,0.10285929934807864,0.30333333333333334,0.22749999999999998,0.5833333333333333,0.5,0.5,0.0,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.7666666666666667,0.25,0.775,0.25,0.4333333333333333,0.3333333333333333,0.5,0.5,1.0,0.0,0.28644179262614133,0.10961681547619051,0.24292929292929294,0.03219696969696968,0.8253244988158829,0.03716913178581835,0.5013888888888889,0.03935185185185186,0.7835648148148148,0.00694444444444442
DeepSeek V3,0.14969135802469133,0.012731481481481483,0.21348270633444275,0.09808705493920725,0.6046792480964934,0.0705691050787531,0.006813968781627032,0.006693262411347518,0.33402777777777776,0.03819444444444445,0.7637886643106737,0.11019717080800029,0.9739130434782608,0.043478260869565244,0.7527777777777779,0.0625,0.7111111111111111,0.10416666666666669,0.9555555555555555,0.041666666666666685,0.6916666666666667,0.041666666666666685,0.044444444444444446,0.041666666666666664,0.7951751591911774,0.13276460381723543,0.9472222222222222,0.0625,0.9277777777777777,0.05555555555555558,0.7083333333333334,0.10416666666666669,1.0,0.0,0.6611539852584472,0.0749288356780537,0.441723744930303,0.26411935502133854,0.5509838594528722,0.11211721667833802,0.6262128361115231,0.2821772462482396,0.5363060560701797,0.2560167274602999,0.30333333333333334,0.4437500000000001,0.6833333333333333,0.25,0.325,0.125,0.6333333333333333,0.33333333333333337,0.36666666666666664,0.3333333333333333,0.31666666666666665,0.16666666666666669,0.65,0.25,0.4666666666666666,0.5,0.5,0.5,1.0,0.0,0.5601192560357476,0.1964285714285715,0.5171717171717172,0.03598484848484845,0.8387099937109783,0.032884850323260856,0.14969135802469133,0.012731481481481483,0.33402777777777776,0.03819444444444445
